Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo1hq6szdtmvvgqeyugnywg8834x3aswgdzrxvksz,1,8446.478859
osmo1gyzr28e5yc8mqg9seguv8ej9zzdfpf4arjxrws,1,8446.478859
osmo15y2jy3uatqlavdmjkfr779dydgjqk43adwj7sd,1,8446.478859
osmo19cnmuuwue83yxs4z46ph4ldt309fnru90rt977,1,8446.478859
osmo1ugmyqw3ac3te7969r2ppt0my545k68jz8z89u9,1,8446.478859
osmo1dzkzlff6u5rqx82hexpywt32he6uxrlaa47z9x,1,8446.478859
osmo1y7dt5c63yjwl3er8eyyxl7fk9k39r4mh3t7tlj,1,8446.478859
osmo1zd36wdkzaf3dzq7rf3t3gyzkyzrea0lndmmzx2,1,8446.478859
osmo1dsyj0u9qqm3su7nmpsy0xlnsc77yzp8ncg44nj,1,8369.345117
osmo168dzv6rzz7pmt8fg793exmmgm9nl2dhmdqprc2,0.932547,7876.738520
osmo1dtvmgl3jsn3kwpl3a98ahsjp5d5kzxek2kaalj,0.908577,7674.276422
osmo1vwqnwkq3te9e0cdrck50sgafx7z3ayrlsw34ku,0.856443,7233.927693
osmo1l658lngke5dndaycm8mh70jm7p9mfhhn0upg6k,0.8,6757.183087
osmo1rk77yq5qdkks2wlvc4kypmxjz3q59azd5gtmmd,0.56684,4787.802076
osmo1w754akfaeppu57j2rka76e49grctfpnyh6pd8h,0.590495,4665.556609
osmo1uvmm26ngcj05dcurr09d2c57k69kprf2lqkc8g,0.524859,4433.210447
osmo1xp9vpjdzx08uh7llkl46upc3cefmn4kp4f7xr5,0.516996,4337.681989
osmo1rgf4dznny6fx60yjwmq27xxs42vl34yl54cce0,0.5,4223.239429
osmo1svaj6q52n77rdkl8x2vdudwj846c7ntvwpdrak,0.5,4223.239429
osmo1gz0lm6cgx6g6fkwtqmjal68q3eggyspfkx6u6w,0.5,4223.239429
osmo1qaqzsyua59mx8vw6xzrnw6wftdp57reves6kf0,0.5,4223.239429
osmo1ql3h9920tn56mdz7sgkh7ltcagespefeezq5p2,0.5,4223.239429
osmo13g9cf2dsjqf3342pwf46rc7v6vmteehd9l6wdd,0.499897,4222.369442
osmo1acmc8f7g9eqs6lvhy3m9889d9djze4cz03pw03,0.487263,4115.656628
